site,repr,sigma_idx,target,metric,value,alpha
s0_conv_in,pooled,0,ball_x,r2,0.015063226222991943,0.01
s0_conv_in,pooled,0,ball_y,r2,0.043518006801605225,0.01
s0_conv_in,pooled,0,ball_vx,r2,0.0011775493621826172,0.1
s0_conv_in,pooled,0,ball_vy,r2,0.0133858323097229,0.01
s0_conv_in,pooled,0,left_paddle_y,r2,0.042363524436950684,0.01
s0_conv_in,pooled,0,right_paddle_y,r2,-0.0004165172576904297,100.0
s0_conv_in,pooled,0,collision_imminent,auc,0.5820346895049755,0.01
s0_conv_in,pooled,1,ball_x,r2,0.016747474670410156,0.01
s0_conv_in,pooled,1,ball_y,r2,0.04475468397140503,0.01
s0_conv_in,pooled,1,ball_vx,r2,0.001954317092895508,0.01
s0_conv_in,pooled,1,ball_vy,r2,0.012019574642181396,0.01
s0_conv_in,pooled,1,left_paddle_y,r2,0.04353487491607666,0.01
s0_conv_in,pooled,1,right_paddle_y,r2,-0.0007462501525878906,100.0
s0_conv_in,pooled,1,collision_imminent,auc,0.6007286090141761,0.01
s0_conv_in,pooled,2,ball_x,r2,0.016446292400360107,0.01
s0_conv_in,pooled,2,ball_y,r2,0.04390144348144531,0.01
s0_conv_in,pooled,2,ball_vx,r2,0.0013813972473144531,0.01
s0_conv_in,pooled,2,ball_vy,r2,0.012643039226531982,0.01
s0_conv_in,pooled,2,left_paddle_y,r2,0.04266780614852905,0.01
s0_conv_in,pooled,2,right_paddle_y,r2,-0.0006792545318603516,100.0
s0_conv_in,pooled,2,collision_imminent,auc,0.6091229978262012,0.01
s1_d_stage1,pooled,0,ball_x,r2,0.12463206052780151,0.01
s1_d_stage1,pooled,0,ball_y,r2,0.18607842922210693,0.1
s1_d_stage1,pooled,0,ball_vx,r2,0.09542500972747803,0.01
s1_d_stage1,pooled,0,ball_vy,r2,0.3154752254486084,0.1
s1_d_stage1,pooled,0,left_paddle_y,r2,0.17111539840698242,0.1
s1_d_stage1,pooled,0,right_paddle_y,r2,0.11873781681060791,0.01
s1_d_stage1,pooled,0,collision_imminent,auc,0.7687633403034718,0.01
s1_d_stage1,pooled,1,ball_x,r2,0.16779309511184692,0.01
s1_d_stage1,pooled,1,ball_y,r2,0.289902925491333,0.01
s1_d_stage1,pooled,1,ball_vx,r2,0.16741794347763062,0.01
s1_d_stage1,pooled,1,ball_vy,r2,0.4146590828895569,0.01
