site,repr,sigma_idx,target,metric,value,alpha
s0_conv_in,pooled,0,ball_x,r2,-0.00027942657470703125,100.0
s0_conv_in,pooled,0,ball_y,r2,-0.0003085136413574219,100.0
s0_conv_in,pooled,0,ball_vx,r2,-0.000628352165222168,100.0
s0_conv_in,pooled,0,ball_vy,r2,-0.0002186298370361328,100.0
s0_conv_in,pooled,0,left_paddle_y,r2,-0.0001506805419921875,100.0
s0_conv_in,pooled,0,right_paddle_y,r2,-0.0001373291015625,100.0
s0_conv_in,pooled,0,collision_imminent,auc,0.4900830425059916,100.0
s0_conv_in,pooled,1,ball_x,r2,2.980232238769531e-07,100.0
s0_conv_in,pooled,1,ball_y,r2,-0.00016486644744873047,0.01
s0_conv_in,pooled,1,ball_vx,r2,-0.000453948974609375,100.0
s0_conv_in,pooled,1,ball_vy,r2,0.0006309151649475098,0.01
s0_conv_in,pooled,1,left_paddle_y,r2,-0.00011026859283447266,100.0
s0_conv_in,pooled,1,right_paddle_y,r2,7.063150405883789e-05,100.0
s0_conv_in,pooled,1,collision_imminent,auc,0.49271380543939447,100.0
s0_conv_in,pooled,2,ball_x,r2,-0.0006868839263916016,100.0
s0_conv_in,pooled,2,ball_y,r2,-5.3882598876953125e-05,100.0
s0_conv_in,pooled,2,ball_vx,r2,-0.0002868175506591797,100.0
s0_conv_in,pooled,2,ball_vy,r2,0.0005941390991210938,0.01
s0_conv_in,pooled,2,left_paddle_y,r2,0.00012814998626708984,100.0
s0_conv_in,pooled,2,right_paddle_y,r2,-0.0002797842025756836,100.0
s0_conv_in,pooled,2,collision_imminent,auc,0.5040985540626948,100.0
s1_d_stage1,pooled,0,ball_x,r2,-0.0001919269561767578,100.0
s1_d_stage1,pooled,0,ball_y,r2,-0.001180410385131836,100.0
s1_d_stage1,pooled,0,ball_vx,r2,-0.0003641843795776367,100.0
s1_d_stage1,pooled,0,ball_vy,r2,0.0002784132957458496,1.0
s1_d_stage1,pooled,0,left_paddle_y,r2,-0.0015404224395751953,100.0
s1_d_stage1,pooled,0,right_paddle_y,r2,1.800060272216797e-05,100.0
s1_d_stage1,pooled,0,collision_imminent,auc,0.5006081196171793,100.0
s1_d_stage1,pooled,1,ball_x,r2,-5.0187110900878906e-05,100.0
s1_d_stage1,pooled,1,ball_y,r2,-0.0008225440979003906,100.0
s1_d_stage1,pooled,1,ball_vx,r2,-0.00025963783264160156,10.0
s1_d_stage1,pooled,1,ball_vy,r2,0.00019538402557373047,10.0
s1_d_stage1,pooled,1,left_paddle_y,r2,-0.0013878345489501953,100.0
s1_d_stage1,pooled,1,right_paddle_y,r2,-3.6716461181640625e-05,100.0
s1_d_stage1,pooled,1,collision_imminent,auc,0.490033319486502,100.0
s1_d_stage1,pooled,2,ball_x,r2,-0.00043785572052001953,100.0
s1_d_stage1,pooled,2,ball_y,r2,-0.0006176233291625977,100.0
s1_d_stage1,pooled,2,ball_vx,r2,-0.0001316070556640625,10.0
s1_d_stage1,pooled,2,ball_vy,r2,0.0002511143684387207,100.0
s1_d_stage1,pooled,2,left_paddle_y,r2,-0.0008194446563720703,100.0
s1_d_stage1,pooled,2,right_paddle_y,r2,3.653764724731445e-05,10.0
s1_d_stage1,pooled,2,collision_imminent,auc,0.5001738786648954,100.0
s2_d_stage3,pooled,0,ball_x,r2,-0.0012969970703125,100.0
s2_d_stage3,pooled,0,ball_y,r2,-0.00368344783782959,100.0
s2_d_stage3,pooled,0,ball_vx,r2,-0.004464387893676758,100.0
s2_d_stage3,pooled,0,ball_vy,r2,-0.0028905868530273438,100.0
s2_d_stage3,pooled,0,left_paddle_y,r2,-0.003304004669189453,100.0
s2_d_stage3,pooled,0,right_paddle_y,r2,-0.0026966333389282227,100.0
s2_d_stage3,pooled,0,collision_imminent,auc,0.5012995835216091,0.01
s2_d_stage3,pooled,1,ball_x,r2,-0.0018309354782104492,100.0
s2_d_stage3,pooled,1,ball_y,r2,-0.0036344528198242188,100.0
s2_d_stage3,pooled,1,ball_vx,r2,-0.003920912742614746,100.0
s2_d_stage3,pooled,1,ball_vy,r2,-0.002332329750061035,100.0
s2_d_stage3,pooled,1,left_paddle_y,r2,-0.0030390024185180664,100.0
s2_d_stage3,pooled,1,right_paddle_y,r2,-0.0022336244583129883,100.0
s2_d_stage3,pooled,1,collision_imminent,auc,0.4994240838862783,0.1
s2_d_stage3,pooled,2,ball_x,r2,-0.0008643865585327148,10.0
s2_d_stage3,pooled,2,ball_y,r2,-0.0030242204666137695,100.0
s2_d_stage3,pooled,2,ball_vx,r2,-0.0028132200241088867,100.0
s2_d_stage3,pooled,2,ball_vy,r2,-0.0020024776458740234,100.0
s2_d_stage3,pooled,2,left_paddle_y,r2,-0.0032296180725097656,100.0
s2_d_stage3,pooled,2,right_paddle_y,r2,-0.0023975372314453125,100.0
s2_d_stage3,pooled,2,collision_imminent,auc,0.49423111705041833,0.1
s2_d_stage3,flat,0,ball_x,r2,-0.0774085521697998,10000.0
s2_d_stage3,flat,0,ball_y,r2,-0.08020973205566406,10000.0
s2_d_stage3,flat,0,ball_vx,r2,-0.08654773235321045,10000.0
s2_d_stage3,flat,0,ball_vy,r2,-0.08256471157073975,10000.0
s2_d_stage3,flat,0,left_paddle_y,r2,-0.07645225524902344,10000.0
s2_d_stage3,flat,0,right_paddle_y,r2,-0.06250607967376709,10000.0
s2_d_stage3,flat,0,collision_imminent,auc,0.5073451330480656,1000.0
s2_d_stage3,flat,1,ball_x,r2,-0.0495607852935791,10000.0
s2_d_stage3,flat,1,ball_y,r2,-0.05097389221191406,10000.0
s2_d_stage3,flat,1,ball_vx,r2,-0.05152487754821777,10000.0
s2_d_stage3,flat,1,ball_vy,r2,-0.03984534740447998,10000.0
s2_d_stage3,flat,1,left_paddle_y,r2,-0.036167025566101074,10000.0
s2_d_stage3,flat,1,right_paddle_y,r2,-0.040727853775024414,10000.0
