site,repr,sigma_idx,target,metric,value,alpha
s0_conv_in,pooled,0,ball_x,r2,0.021431267261505127,0.01
s0_conv_in,pooled,0,ball_y,r2,0.045413851737976074,0.01
s0_conv_in,pooled,0,ball_vx,r2,0.0014659762382507324,0.01
s0_conv_in,pooled,0,ball_vy,r2,0.014618396759033203,0.01
s0_conv_in,pooled,0,left_paddle_y,r2,0.04405367374420166,0.01
s0_conv_in,pooled,0,right_paddle_y,r2,-0.0003345012664794922,100.0
s0_conv_in,pooled,0,collision_imminent,auc,0.6127263883601054,0.01
s0_conv_in,pooled,1,ball_x,r2,0.022811949253082275,0.01
s0_conv_in,pooled,1,ball_y,r2,0.046147167682647705,0.01
s0_conv_in,pooled,1,ball_vx,r2,0.002369821071624756,0.01
s0_conv_in,pooled,1,ball_vy,r2,0.012947916984558105,0.01
s0_conv_in,pooled,1,left_paddle_y,r2,0.044821977615356445,0.01
s0_conv_in,pooled,1,right_paddle_y,r2,-0.0007642507553100586,100.0
s0_conv_in,pooled,1,collision_imminent,auc,0.6137447290398389,0.01
s0_conv_in,pooled,2,ball_x,r2,0.022751152515411377,0.01
s0_conv_in,pooled,2,ball_y,r2,0.04646754264831543,0.01
s0_conv_in,pooled,2,ball_vx,r2,0.0019509196281433105,0.01
s0_conv_in,pooled,2,ball_vy,r2,0.013517022132873535,0.01
s0_conv_in,pooled,2,left_paddle_y,r2,0.045167744159698486,0.01
s0_conv_in,pooled,2,right_paddle_y,r2,-0.0006878376007080078,100.0
s0_conv_in,pooled,2,collision_imminent,auc,0.6221134590338208,0.01
s1_d_stage1,pooled,0,ball_x,r2,0.03426617383956909,0.01
s1_d_stage1,pooled,0,ball_y,r2,0.05025529861450195,0.01
s1_d_stage1,pooled,0,ball_vx,r2,0.0025814175605773926,0.01
s1_d_stage1,pooled,0,ball_vy,r2,0.021748840808868408,0.01
s1_d_stage1,pooled,0,left_paddle_y,r2,0.049403369426727295,0.01
s1_d_stage1,pooled,0,right_paddle_y,r2,0.05426663160324097,0.01
s1_d_stage1,pooled,0,collision_imminent,auc,0.5762856944077366,0.01
s1_d_stage1,pooled,1,ball_x,r2,0.04029017686843872,0.01
s1_d_stage1,pooled,1,ball_y,r2,0.05160492658615112,0.01
s1_d_stage1,pooled,1,ball_vx,r2,0.005767107009887695,0.01
s1_d_stage1,pooled,1,ball_vy,r2,0.021279454231262207,0.01
s1_d_stage1,pooled,1,left_paddle_y,r2,0.05077016353607178,0.01
s1_d_stage1,pooled,1,right_paddle_y,r2,0.06209081411361694,0.01
s1_d_stage1,pooled,1,collision_imminent,auc,0.5842555464121366,0.01
s1_d_stage1,pooled,2,ball_x,r2,0.05672264099121094,0.01
s1_d_stage1,pooled,2,ball_y,r2,0.06641155481338501,0.01
s1_d_stage1,pooled,2,ball_vx,r2,0.00872945785522461,0.01
s1_d_stage1,pooled,2,ball_vy,r2,0.02712273597717285,0.01
s1_d_stage1,pooled,2,left_paddle_y,r2,0.06561899185180664,0.01
s1_d_stage1,pooled,2,right_paddle_y,r2,0.08267396688461304,0.01
s1_d_stage1,pooled,2,collision_imminent,auc,0.6144108441264329,0.01
s2_d_stage3,pooled,0,ball_x,r2,0.0018031001091003418,10.0
s2_d_stage3,pooled,0,ball_y,r2,-0.027426600456237793,1.0
s2_d_stage3,pooled,0,ball_vx,r2,0.0001361370086669922,100.0
s2_d_stage3,pooled,0,ball_vy,r2,-0.01988506317138672,10.0
s2_d_stage3,pooled,0,left_paddle_y,r2,-0.031028270721435547,1.0
s2_d_stage3,pooled,0,right_paddle_y,r2,0.008336961269378662,0.01
s2_d_stage3,pooled,0,collision_imminent,auc,0.5371623862416809,0.01
s2_d_stage3,pooled,1,ball_x,r2,0.017344653606414795,0.01
s2_d_stage3,pooled,1,ball_y,r2,0.014111459255218506,0.1
s2_d_stage3,pooled,1,ball_vx,r2,0.003460705280303955,1.0
s2_d_stage3,pooled,1,ball_vy,r2,-0.005665302276611328,0.1
s2_d_stage3,pooled,1,left_paddle_y,r2,0.013390660285949707,0.1
s2_d_stage3,pooled,1,right_paddle_y,r2,0.047455430030822754,0.01
s2_d_stage3,pooled,1,collision_imminent,auc,0.5936788234022213,0.01
s2_d_stage3,pooled,2,ball_x,r2,0.2052708864212036,0.01
s2_d_stage3,pooled,2,ball_y,r2,0.2808934450149536,0.01
s2_d_stage3,pooled,2,ball_vx,r2,0.03485172986984253,0.01
s2_d_stage3,pooled,2,ball_vy,r2,0.08466047048568726,0.01
s2_d_stage3,pooled,2,left_paddle_y,r2,0.28119683265686035,0.01
s2_d_stage3,pooled,2,right_paddle_y,r2,0.4149606227874756,0.01
s2_d_stage3,pooled,2,collision_imminent,auc,0.8572730781798832,0.01
