site,repr,sigma_idx,target,metric,value,alpha
s0_conv_in,pooled,0,ball_x,r2,-0.00021004676818847656,100.0
s0_conv_in,pooled,0,ball_y,r2,-0.0002218484878540039,100.0
s0_conv_in,pooled,0,ball_vx,r2,-0.0004984140396118164,100.0
s0_conv_in,pooled,0,ball_vy,r2,-0.00013446807861328125,100.0
s0_conv_in,pooled,0,left_paddle_y,r2,-9.334087371826172e-05,100.0
s0_conv_in,pooled,0,right_paddle_y,r2,-8.022785186767578e-05,100.0
s0_conv_in,pooled,0,collision_imminent,auc,0.488326533803248,100.0
s0_conv_in,pooled,1,ball_x,r2,-9.5367431640625e-07,100.0
s0_conv_in,pooled,1,ball_y,r2,-0.0002117156982421875,100.0
s0_conv_in,pooled,1,ball_vx,r2,-0.0004483461380004883,100.0
s0_conv_in,pooled,1,ball_vy,r2,0.0005735158920288086,0.1
s0_conv_in,pooled,1,left_paddle_y,r2,-4.208087921142578e-05,0.01
s0_conv_in,pooled,1,right_paddle_y,r2,6.890296936035156e-05,100.0
s0_conv_in,pooled,1,collision_imminent,auc,0.4927037798203936,100.0
s0_conv_in,pooled,2,ball_x,r2,-0.0006784200668334961,100.0
s0_conv_in,pooled,2,ball_y,r2,-5.233287811279297e-05,100.0
s0_conv_in,pooled,2,ball_vx,r2,-0.0002830028533935547,100.0
s0_conv_in,pooled,2,ball_vy,r2,0.0005998015403747559,0.01
s0_conv_in,pooled,2,left_paddle_y,r2,0.00012928247451782227,100.0
s0_conv_in,pooled,2,right_paddle_y,r2,-0.00027620792388916016,100.0
s0_conv_in,pooled,2,collision_imminent,auc,0.5040411346084166,100.0
s1_d_stage1,pooled,0,ball_x,r2,-0.0002181529998779297,100.0
s1_d_stage1,pooled,0,ball_y,r2,-0.0003154277801513672,100.0
s1_d_stage1,pooled,0,ball_vx,r2,-0.00048744678497314453,100.0
s1_d_stage1,pooled,0,ball_vy,r2,0.00023090839385986328,1.0
s1_d_stage1,pooled,0,left_paddle_y,r2,-0.00013148784637451172,100.0
s1_d_stage1,pooled,0,right_paddle_y,r2,-6.520748138427734e-05,100.0
s1_d_stage1,pooled,0,collision_imminent,auc,0.49413025324713594,0.01
s1_d_stage1,pooled,1,ball_x,r2,0.00019872188568115234,0.01
s1_d_stage1,pooled,1,ball_y,r2,-0.00021719932556152344,100.0
s1_d_stage1,pooled,1,ball_vx,r2,-0.0004138946533203125,10.0
s1_d_stage1,pooled,1,ball_vy,r2,0.00019872188568115234,100.0
s1_d_stage1,pooled,1,left_paddle_y,r2,-0.00010716915130615234,100.0
s1_d_stage1,pooled,1,right_paddle_y,r2,0.00018602609634399414,1.0
s1_d_stage1,pooled,1,collision_imminent,auc,0.4925171412767697,100.0
s1_d_stage1,pooled,2,ball_x,r2,-0.0002988576889038086,0.01
s1_d_stage1,pooled,2,ball_y,r2,-5.1856040954589844e-05,100.0
s1_d_stage1,pooled,2,ball_vx,r2,-0.00028502941131591797,100.0
s1_d_stage1,pooled,2,ball_vy,r2,0.0008963942527770996,0.01
s1_d_stage1,pooled,2,left_paddle_y,r2,0.00013113021850585938,100.0
s1_d_stage1,pooled,2,right_paddle_y,r2,-0.0002758502960205078,100.0
s1_d_stage1,pooled,2,collision_imminent,auc,0.504202962276735,100.0
s2_d_stage3,pooled,0,ball_x,r2,-0.00025200843811035156,100.0
s2_d_stage3,pooled,0,ball_y,r2,-0.00032591819763183594,100.0
s2_d_stage3,pooled,0,ball_vx,r2,-0.0005908012390136719,100.0
s2_d_stage3,pooled,0,ball_vy,r2,1.4126300811767578e-05,100.0
s2_d_stage3,pooled,0,left_paddle_y,r2,0.0001481771469116211,100.0
s2_d_stage3,pooled,0,right_paddle_y,r2,-0.0002747774124145508,100.0
s2_d_stage3,pooled,0,collision_imminent,auc,0.5207890830528353,10.0
s2_d_stage3,pooled,1,ball_x,r2,-8.428096771240234e-05,100.0
s2_d_stage3,pooled,1,ball_y,r2,0.0004715919494628906,1.0
s2_d_stage3,pooled,1,ball_vx,r2,-0.0005884170532226562,100.0
s2_d_stage3,pooled,1,ball_vy,r2,0.00022542476654052734,100.0
s2_d_stage3,pooled,1,left_paddle_y,r2,-0.0001207590103149414,100.0
s2_d_stage3,pooled,1,right_paddle_y,r2,-6.628036499023438e-05,100.0
s2_d_stage3,pooled,1,collision_imminent,auc,0.49694066717152585,0.01
s2_d_stage3,pooled,2,ball_x,r2,-0.0005602836608886719,0.1
s2_d_stage3,pooled,2,ball_y,r2,6.389617919921875e-05,10.0
s2_d_stage3,pooled,2,ball_vx,r2,-0.00031578540802001953,100.0
s2_d_stage3,pooled,2,ball_vy,r2,0.0002225041389465332,100.0
s2_d_stage3,pooled,2,left_paddle_y,r2,0.00012129545211791992,100.0
s2_d_stage3,pooled,2,right_paddle_y,r2,-0.0002783536911010742,100.0
s2_d_stage3,pooled,2,collision_imminent,auc,0.5041552646348213,100.0
s2_d_stage3,flat,0,ball_x,r2,-0.005716443061828613,10000.0
s2_d_stage3,flat,0,ball_y,r2,-0.003939390182495117,10000.0
s2_d_stage3,flat,0,ball_vx,r2,-0.004831552505493164,10000.0
s2_d_stage3,flat,0,ball_vy,r2,-0.0035322904586791992,10000.0
s2_d_stage3,flat,0,left_paddle_y,r2,-0.005120277404785156,10000.0
