Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
MODULE                                                                  TYPE                  SHAPE
--------------------------------------------------------------------------------------------------------------
noise_emb                                                               FourierFeatures       (2, 256)
act_emb.0                                                               Embedding             (2, 4, 64)
act_emb.1                                                               Flatten               (2, 256)
act_emb                                                                 Sequential            (2, 256)
cond_proj.0                                                             Linear                (2, 256)
cond_proj.1                                                             SiLU                  (2, 256)
cond_proj.2                                                             Linear                (2, 256)
cond_proj                                                               Sequential            (2, 256)
conv_in                                                                 Conv2d                (2, 64, 64, 64)
unet.downsamples.0                                                      Identity              (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0.proj                                        Identity              (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0.norm1.linear                                Linear                (2, 128)
unet.d_blocks.0.resblocks.0.norm1                                       AdaGroupNorm          (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0.conv1                                       Conv2d                (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.d_blocks.0.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0.conv2                                       Conv2d                (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0.attn                                        Identity              (2, 64, 64, 64)
unet.d_blocks.0.resblocks.0                                             ResBlock              (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1.proj                                        Identity              (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1.norm1.linear                                Linear                (2, 128)
unet.d_blocks.0.resblocks.1.norm1                                       AdaGroupNorm          (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1.conv1                                       Conv2d                (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.d_blocks.0.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1.conv2                                       Conv2d                (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1.attn                                        Identity              (2, 64, 64, 64)
unet.d_blocks.0.resblocks.1                                             ResBlock              (2, 64, 64, 64)
unet.d_blocks.0[0]                                                      ResBlocks             (2, 64, 64, 64)
unet.d_blocks.0[1][0]                                                   ResBlocks             (2, 64, 64, 64)
unet.d_blocks.0[1][1]                                                   ResBlocks             (2, 64, 64, 64)
unet.downsamples.1.conv                                                 Conv2d                (2, 64, 32, 32)
unet.downsamples.1                                                      Downsample            (2, 64, 32, 32)
unet.d_blocks.1.resblocks.0.proj                                        Identity              (2, 64, 32, 32)
